theme-test-drive,Theme Test Drive,2.9
job-manager,Job Manager,0.7.22
use-google-libraries,Use Google Libraries,1.6.2
special-recent-posts,Special Recent Posts,2.0.4
adminimize,Adminimize,1.8.4
contact-form-with-a-meeting-scheduler-by-vcita,Contact Form Plugin by vCita,3.8.0
custom-field-suite,Custom Field Suite,2.4
easy-columns,WP Easy Columns,2.1.3
peters-login-redirect,Peter's Login Redirect,2.8.2
php-code-widget,PHP Code Widget,2.2
email-newsletter,Email newsletter,20.11.1
ik-facebook,IK Facebook Plugin,2.9.5
wp-slimstat-shortcodes,WP SlimStat Shortcodes,2.5.1
clickdesk-live-support-chat-plugin,ClickDesk Live Support - Live Chat - Help Desk Plugin for Websites,4.4
wp-database-backup,WP Database Backup,2.1.3
easy-twitter-feed-widget,Easy Twitter Feed Widget Plugin,0.3
wp-google-map-plugin,WP Google Map Plugin,2.3.6
rustolat,Rus-To-Lat,0.3
404-to-start,404 to Start,1.5.8.1
advanced-code-editor,Advanced Code Editor,2.2.6
content-aware-sidebars,Content Aware Sidebars,2.6
ecommerce-product-catalog,eCommerce Product Catalog by impleCode,2.1.6
mobile-smart,Mobile Smart,1.3.8
wp-ultimate-csv-importer,WP Ultimate CSV Importer Plugin,3.6.75
pdf-print,PDF ,1.7.8
really-static,Really Static,0.31
ps-auto-sitemap,PS Auto Sitemap,1.1.8
twitter-plugin,Twitter,2.39
simplified-social-share,Simplified Social Sharing,2.7.1
cresta-social-share-counter,Cresta Social Share Counter,2.4
saphali-woocommerce-lite,Saphali Woocommerce Russian,1.5.5
adsense-plugin,Google AdSense by BestWebSoft,1.32
ifeature-slider,iFeature Slider,1.0
gravityforms-nl,Gravity Forms (nl),2.9.1
rs-feedburner,RS FeedBurner,1.4.3
pinterest-pin-it-button,Pinterest ,2.0.8
add-from-server,Add From Server,3.2.0.3
wp-subscribe,WP Subscribe,1.0.2
login-with-ajax,Login With Ajax,3.1.4
wr-pagebuilder,Page Builder by WooRockets.com,2.4.8
wp-backitup,WP Backitup,1.10.4
wp-ajaxify-comments,WP Ajaxify Comments,1.2.0
woocommerce-sequential-order-numbers,WooCommerce Sequential Order Numbers,1.4.0
contact-form-to-email,Contact Form to Email,1.1.2
contus-video-gallery,WORDPRESS VIDEO GALLERY,2.8
enhanced-media-library,Enhanced Media Library,2.0.3
xml-sitemap-feed,XML Sitemap ,4.3.2
post-thumbnail-editor,Post Thumbnail Editor,2.4.4
smart-slider-2,Smart Slider 2,2.3.11
q2w3-fixed-widget,Q2W3 Fixed Widget (Sticky Widget),4.0.6
adminer,Adminer,1.3.2
ad-injection,Ad Injection,1.2.0.18
facebook-page-promoter-lightbox,Facebook Page Promoter Lightbox,3.0
wpcat2tag-importer,Categories to Tags Converter,0.5
skype-online-status,Skype Online Status,2.9.7
events-made-easy,Events Made Easy,1.5.24
very-simple-contact-form,Very Simple Contact Form,2.9
flamingo,Flamingo,1.2
wp-video-lightbox,WP Video Lightbox,1.7.1
facebook-by-weblizar,Facebook,1.1
genesis-enews-extended,Genesis eNews Extended,1.4.1
sem-external-links,External Links,6.5
advanced-excerpt,Advanced Excerpt,4.2.3
olevmedia-shortcodes,Olevmedia Shortcodes,1.1.8
social-share-button,Social Share Button,1.9
wp-rss-multi-importer,WP RSS Multi Importer,3.13
